Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome,Top_6_Genome,Top_7_Genome,Top_8_Genome,Top_9_Genome,Top_10_Genome
0,3.0,0.4,-2.0,"[30, 92, 51, -61, 83, -19, 52, -83]","[52, 76, 58, -34, 57, -40, 77, -60]","[67, 96, -20, 82, -24, 19, 45, -60]","[-14, 88, 44, 72, 33, -17, -90, 18]","[-21, 37, 9, -96, 11, -21, -95, -84]"
1,3.0,0.1,-3.0,"[-7, 44, 18, -85, 20, -25, -63, -80]","[53, 40, -80, -39, 53, -71, -2, -60]","[54, 95, -10, 80, -15, 13, 24, -48]","[44, 66, 59, -29, 53, -37, 71, -56]","[8, 52, 28, -72, 29, -28, -28, -75]"
2,3.0,0.7,-3.0,"[2, 54, 43, 55, -2, -14, -29, -32]","[36, 79, 5, 22, 2, -3, 4, -58]","[43, 63, -21, -49, 66, -48, 22, -70]","[23, 61, 39, -57, 39, -33, 10, -69]","[54, 95, -10, 79, -15, 13, 24, -48]"
3,3.0,0.3,-3.0,"[2, 54, 43, 55, -2, -14, -29, -32]","[45, 27, -9, -5, 40, -54, 27, -24]","[-13, 56, 30, 45, 28, 10, -62, 0]","[23, 61, 39, -57, 39, -33, 10, -69]","[-9, 43, 28, -8, 5, -12, -56, -51]"
4,3.0,0.65,-3.0,"[47, 41, -9, 13, 28, -40, 26, -29]","[47, 43, -9, 15, 27, -38, 26, -29]","[42, 58, 5, 7, 22, -27, 21, -44]","[-1, 50, 48, 19, 18, -24, -61, -14]","[2, 54, 43, 55, -2, -14, -29, -32]"
5,3.0,1.0,-3.0,"[47, 41, -9, 13, 28, -40, 26, -29]","[21, 54, 45, -30, 26, -42, -15, -51]","[36, 45, -88, 16, -82, -43, 81, -25]","[26, 48, -27, 71, 20, 21, -41, -18]","[41, 58, 7, 4, 23, -27, 20, -45]"
6,3.0,1.2,-3.0,"[47, 41, -9, 13, 28, -40, 26, -29]","[6, 53, 39, 52, 0, -16, -25, -32]","[40, 56, 7, 3, 23, -30, 17, -43]","[46, 43, -6, 12, 27, -39, 25, -31]","[4, 54, 42, 53, -1, -15, -27, -33]"
7,3.0,0.65,-3.0,"[9, 54, 44, 16, 11, -26, -23, -41]","[40, 46, 7, 2, 27, -40, 15, -36]","[24, 27, 26, 15, -34, -25, 26, 4]","[32, 45, 8, 27, 18, -32, 8, -30]","[18, 55, 39, 2, 17, -31, -14, -44]"
8,3.0,0.15,-3.0,"[26, 31, 22, 17, -23, -26, 22, -3]","[-52, 46, 35, 8, -59, -29, -22, -29]","[30, 48, 19, 6, 24, -34, 5, -38]","[31, 56, 17, 7, 20, -28, 6, -42]","[55, 72, -22, -16, 23, -54, 26, -42]"
9,3.0,1.0,-3.0,"[26, 31, 22, 17, -23, -26, 22, -3]","[33, 44, 16, 6, 10, -33, 14, -28]","[28, 41, 22, 8, -1, -31, 14, -22]","[46, 55, -8, 4, 24, -41, 22, -36]","[-3, 52, 42, 14, -3, -27, -23, -39]"
0,3.0,0.75,-2.0,"[-32, 29, 69, -13, -21, -95, -85, -45]","[-68, -15, 11, -100, 19, -99, 62, -88]","[-85, 87, -35, -89, -56, -90, -1, 75]","[-68, 79, -15, -47, 45, -14, -56, -16]","[-49, 35, 90, 89, -59, 89, -56, 5]"
1,3.0,1.05,-3.0,"[-77, 36, -12, -94, -19, -94, 30, -6]","[-5, 5, 2, 88, -51, -27, -41, 77]","[14, 33, 64, 74, -83, -76, 0, -19]","[-63, -25, 53, 23, 62, -83, -36, -56]","[-47, 34, 88, 77, -54, 67, -59, -1]"
2,3.0,0.3,-2.0,"[24, 32, 51, 63, -56, -35, -38, 3]","[-5, 5, 2, 88, -51, -27, -41, 77]","[-81, 31, 45, 45, -70, -65, 7, -86]","[7, 30, 61, 62, -73, -77, 4, -22]","[-60, 34, 5, -54, -34, -86, 24, -7]"
3,3.0,0.3,-3.0,"[-32, 8, 23, 63, -49, -34, -13, -50]","[-75, 35, -12, -89, -20, -92, 28, -4]","[-5, 5, 2, 88, -51, -27, -41, 77]","[-24, 12, 13, 77, -56, -37, -29, 36]","[13, 22, 33, 72, -54, -32, -39, 31]"
4,3.0,-1.4,-3.0,"[-69, 32, -11, -74, -23, -86, 22, 3]","[-32, 8, 23, 63, -49, -34, -13, -50]","[5, 6, 26, 70, -42, -25, -29, 0]","[2, 19, 27, 73, -55, -33, -36, 32]","[-26, -3, 17, 76, -45, -35, -19, 44]"
5,3.0,-0.8,-3.0,"[64, 20, 2, 12, -28, -58, 78, 23]","[-69, 32, -11, -74, -23, -86, 22, 3]","[-43, -9, 29, 65, -40, -40, -3, 18]","[-34, -7, 30, 65, -40, -38, -7, 11]","[-31, 8, 18, 63, -50, -30, -12, -49]"
6,3.0,0.35,-3.0,"[-26, -4, 29, 66, -40, -35, -12, 9]","[64, 32, 23, 30, -34, -49, 59, -7]","[-49, 23, -1, -8, -37, -64, -1, 19]","[64, 20, 2, 12, -28, -58, 78, 23]","[64, 20, 2, 12, -28, -58, 78, 23]"
7,3.0,0.1,-3.0,"[35, 21, 21, 17, -18, -27, 41, -4]","[-23, 23, -1, 1, -33, -43, 9, 17]","[64, 20, 2, 12, -28, -58, 78, 23]","[-41, 12, 7, 25, -40, -53, -7, 27]","[64, 20, 2, 12, -28, -58, 78, 23]"
8,2.0,0.15,-3.0,"[64, 20, 2, 12, -28, -58, 78, 23]","[63, 20, 2, 12, -28, -58, 77, 23]","[48, 21, 12, 15, -22, -41, 58, 8]","[31, 17, 4, 16, -32, -56, 51, 24]","[40, 21, 18, 16, -20, -32, 47, 1]"
9,2.0,0.25,-3.0,"[64, 20, 2, 12, -28, -58, 78, 23]","[40, 18, 7, 96, -36, -80, 55, -45]","[42, 19, 8, 15, -27, -49, 57, 17]","[41, 21, 10, 14, -23, -42, 54, 9]","[-20, 23, -1, 1, -33, -43, 11, 17]"
0,10.0,0.85,-5.0,"[-63, 58, -12, 89, -55, -24, -5, 48]","[91, 61, 8, 93, -21, -85, 76, -51]","[83, 46, 17, 36, -7, -35, -97, -61]","[-43, 94, -2, -76, -50, -49, 63, 83]","[94, 51, -13, 4, -28, 6, 28, -28]"
1,8.0,-0.35,-9.0,"[87, 37, -13, 26, 24, -32, -18, -23]","[84, 47, 14, 33, -9, -31, -84, -57]","[25, 35, -35, 23, 31, -10, -87, -91]","[-18, 59, -6, 90, -45, -42, 19, 19]","[25, 73, -7, -36, -39, -22, 46, 28]"
2,7.0,2.35,-9.0,"[11, 68, -7, 6, -41, -28, 36, 24]","[-62, 42, 4, 43, -42, -39, 14, 35]","[23, 36, -33, 27, 27, -12, -81, -85]","[20, -35, 51, 74, -25, -38, 9, -58]","[-53, 50, -16, 66, -45, -24, 6, 46]"
3,2.0,-3.4,-9.0,"[71, 45, -72, 55, -11, -42, -45, -71]","[-18, 57, -4, 47, -43, -36, 24, 25]","[45, 40, -50, 40, 10, -26, -64, -78]","[-5, 75, -37, 7, -29, -45, -35, -28]","[-19, 83, 25, 20, -26, 1, 34, 13]"
4,4.0,-1.65,-10.0,"[71, 45, -72, 55, -11, -42, -45, -71]","[55, 49, -50, 51, -15, -39, -24, -44]","[-14, 69, -42, -76, 54, -79, -4, -15]","[10, 62, 1, -7, -8, -45, 2, -21]","[-18, 57, -4, 47, -43, -36, 24, 25]"
5,10.0,-0.15,-8.0,"[80, 61, 68, 53, -32, 37, 68, -98]","[-17, 55, -20, 34, -24, -33, -21, -12]","[7, 63, 2, -3, -13, -43, 6, -16]","[71, 45, -72, 55, -11, -42, -45, -71]","[23, 59, -24, 40, -32, -35, 2, -18]"
6,10.0,1.15,-10.0,"[80, 61, 68, 53, -32, 37, 68, -98]","[72, 60, 60, 51, -31, 31, 60, -91]","[24, 63, 17, 10, -17, -24, 20, -35]","[-14, 57, -12, 30, -26, -32, -10, -8]","[73, 58, -88, -49, 59, -39, -4, -25]"
7,10.0,0.8,-9.0,"[-11, 56, -15, 31, -23, -32, -15, -15]","[71, 60, 59, 50, -31, 30, 59, -90]","[70, 60, 58, 50, -31, 29, 58, -89]","[80, 61, 68, 53, -32, 37, 68, -98]","[77, 61, 62, 52, -32, 33, 64, -94]"
8,10.0,4.5,-10.0,"[-11, 56, -15, 31, -23, -32, -15, -15]","[72, 60, 59, 50, -31, 30, 59, -90]","[9, 57, 3, 36, -25, -17, 3, -33]","[71, 60, 59, 50, -31, 30, 59, -90]","[77, 61, 65, 52, -32, 34, 65, -95]"
9,10.0,6.05,-4.0,"[-11, 56, -15, 31, -23, -32, -15, -15]","[42, 58, 33, 43, -28, 8, 33, -64]","[43, 59, 34, 44, -28, 9, 34, -64]","[76, 61, 64, 52, -32, 34, 64, -95]","[74, 60, 62, 51, -31, 32, 62, -92]"
0,10.0,0.0,-6.0,"[11, 60, -23, -61, -88, -82, 5, 25]","[-48, 33, -63, 22, -35, -53, -91, 11]","[34, 36, 17, 72, -82, -91, 46, 29]","[72, -21, 73, 3, -39, -100, -3, -65]","[35, -30, -8, -3, -50, -82, -34, 57]"
1,9.0,1.9,-10.0,"[-9, 60, 23, 30, -9, -5, 22, 33]","[56, -64, 17, -63, -72, -88, 2, -59]","[32, -22, -46, -30, 22, -44, -44, 28]","[0, 54, 21, 40, -25, -25, 28, 32]","[38, 30, 23, 65, -77, -92, 41, 19]"
2,9.0,1.45,-8.0,"[27, 37, 23, 57, -62, -72, 37, 22]","[-6, 60, 17, 17, -20, -16, 20, 32]","[-20, 17, -2, 32, -69, -12, -17, 13]","[25, 22, 16, 48, -52, -83, 41, 8]","[8, 16, 7, 49, -82, -53, 5, 12]"
3,8.0,2.1,-9.0,"[27, 15, 23, 33, -44, -85, 36, 0]","[31, -4, 43, -5, -21, -90, 22, -21]","[0, 53, 17, 23, -26, -29, 24, 27]","[27, 36, 21, 53, -59, -70, 33, 22]","[19, 29, 16, 42, -46, -70, 37, 13]"
4,10.0,2.5,-8.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[6, 45, 20, 15, -33, -38, 20, 28]","[-38, 58, -28, 61, 66, -60, -23, 71]","[-27, -42, 32, 45, -39, -68, 42, -55]","[70, -42, -19, 54, -46, -53, -22, 65]"
5,10.0,2.95,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[-21, 11, 20, 34, 7, -64, 1, 5]","[26, 2, 10, 31, -6, -57, -25, 43]","[-3, 35, -1, 46, 7, -73, 9, 33]"
6,10.0,0.45,-6.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[3, 38, 57, 10, -25, -15, 55, -56]","[-21, 38, -4, 48, 15, -77, 49, -19]","[23, 5, 10, 31, -3, -57, -25, 43]","[5, 21, 11, 30, 14, -59, -24, 42]"
7,10.0,2.05,-9.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[7, 31, 47, 15, -20, -24, 38, -34]","[-14, 37, -2, 48, 7, -74, 41, -5]","[4, 32, 42, 17, -12, -30, 29, -23]"
8,10.0,1.15,-8.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[8, 30, 40, 19, -17, -38, 29, -19]","[18, 12, 14, 29, -17, -53, -1, 23]"
9,10.0,4.55,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[22, -6, 21, 34, -29, -45, 17, 14]","[29, 21, 29, 31, -44, -78, 29, 5]"
10,10.0,4.5,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[18, 24, 19, 35, -26, -71, 19, 13]","[29, 21, 29, 31, -44, -78, 29, 5]","[17, 32, 22, 30, -30, -63, 31, 5]","[25, 22, 28, 29, -35, -72, 24, 6]"
11,10.0,1.1,-6.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -43, -77, 29, 5]","[26, 24, 27, 31, -41, -74, 29, 5]","[23, 16, 25, 30, -29, -25, 44, 6]","[25, 25, 27, 31, -38, -72, 30, 5]"
12,10.0,0.15,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -43, -77, 29, 5]","[26, 24, 27, 31, -41, -74, 29, 5]","[23, 18, 25, 30, -30, -33, 41, 6]"
13,10.0,0.05,-8.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -43, -77, 29, 5]","[25, 19, 27, 30, -35, -50, 36, 6]","[28, 22, 28, 31, -42, -76, 29, 5]","[27, 20, 27, 31, -38, -60, 34, 5]"
14,10.0,0.65,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -43, -77, 29, 5]","[21, 29, 24, 30, -34, -67, 31, 5]","[27, 23, 28, 30, -40, -73, 29, 5]"
15,10.0,0.35,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -43, -77, 29, 5]","[26, 21, 28, 28, -41, -76, 34, 9]","[22, 22, 26, 22, -34, -72, 42, 17]","[28, 22, 28, 31, -41, -75, 29, 5]"
16,10.0,-0.25,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[24, 22, 27, 24, -36, -73, 38, 14]","[19, 21, 28, 21, -47, -76, 32, -2]","[-28, 21, 28, 18, -51, -77, 31, -7]","[17, 22, 28, 19, -48, -75, 29, -7]"
17,10.0,0.15,-9.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[27, 21, 29, 29, -45, -77, 29, 3]","[24, 23, 28, 28, -44, -75, 29, 1]","[27, 23, 28, 30, -41, -75, 30, 6]","[27, 22, 28, 30, -42, -75, 30, 6]"
18,10.0,0.15,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[27, 21, 29, 29, -45, -77, 29, 3]","[-10, 23, -41, -59, -42, -75, 29, -80]","[27, 23, 28, 31, -42, -75, 29, 5]"
19,10.0,0.7,-9.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[26, 21, 28, 28, -43, -76, 31, 5]","[27, 23, 28, 31, -42, -75, 29, 5]","[27, 23, 28, 30, -41, -75, 30, 6]"

0,10.0,0.15,-3.0,"[21, 92, -90, 4, -21, 0, -68, 64]","[-57, 91, 56, -32, 5, -70, -30, 29]","[80, 18, 15, -45, 82, -80, -56, 69]","[-17, 60, -94, 99, 31, -65, 92, -87]","[-54, -30, 20, -82, 47, -55, 56, 91]"
1,8.0,0.75,-5.0,"[21, 70, -70, 4, -10, -1, -55, 61]","[53, 51, -32, -23, 36, -44, -61, 67]","[9, 82, -91, 33, -5, -20, -19, 17]","[58, -2, -21, -1, 38, -55, -13, 58]","[64, 11, 12, -22, 80, -51, -41, 62]"
2,8.0,1.75,-10.0,"[21, 70, -70, 4, -10, -1, -55, 61]","[21, 77, -76, 4, -14, -1, -59, 62]","[21, 85, -84, 4, -17, 0, -64, 63]","[58, -2, -21, -1, 38, -55, -13, 58]","[21, 92, -90, 4, -21, 0, -68, 64]"
3,8.0,1.95,-6.0,"[34, 54, -46, -10, -1, -27, -40, 40]","[21, 70, -70, 4, -10, -1, -55, 61]","[54, 11, -25, 77, 33, -82, 51, 57]","[55, 4, -26, -1, 34, -51, -17, 58]","[21, 70, -70, 4, -10, -1, -55, 61]"
4,8.0,2.1,-7.0,"[44, 25, -39, 1, 20, -35, -28, 59]","[37, 40, -49, 1, 11, -25, -38, 59]","[34, 54, -46, -10, -1, -27, -40, 40]","[31, 50, -57, 3, 3, -16, -44, 60]","[13, 73, -74, 3, -20, -7, -55, 64]"
5,4.0,0.6,-6.0,"[16, 73, -72, 3, -17, -4, -56, 63]","[31, 60, -54, -4, 6, -15, -52, 59]","[19, 70, -68, 0, -15, -8, -53, 58]","[26, 36, -47, 0, 2, -28, -33, 62]","[-11, 48, -54, -1, -32, -19, -35, 67]"
6,6.0,0.1,-10.0,"[16, 73, -72, 3, -17, -4, -56, 63]","[-10, 14, -58, 0, 2, -53, -39, 1]","[30, 61, -56, -5, -2, -19, -49, 54]","[32, 58, -53, -4, 7, -17, -51, 59]","[28, 57, -58, -1, -2, -18, -47, 59]"
7,10.0,0.0,-10.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[32, 54, -53, -4, 2, -22, -44, 55]","[24, 53, -58, 2, -4, -18, -44, 62]","[26, 64, -60, -3, -5, -13, -52, 57]","[40, 31, -42, -1, 18, -33, -33, 52]"
8,10.0,-0.05,-10.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[29, 44, -50, -2, 8, -26, -42, 50]","[25, 61, -59, -1, -5, -15, -49, 59]","[27, 52, -56, 16, -1, -80, 74, 9]","[6, 21, -54, 0, 5, -45, -37, 20]"
9,9.0,1.05,-6.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[17, -82, 18, 0, -92, -37, -14, 67]","[29, 44, -50, -2, 8, -26, -42, 50]","[28, 49, -54, 10, 2, -63, 38, 22]","[6, 21, -54, 0, 5, -45, -37, 20]"
10,8.0,-1.25,-9.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[4, 19, -54, 0, 5, -47, -37, 17]","[29, 45, -51, 1, 6, -36, -20, 42]","[32, 59, -56, -3, -5, -23, -43, 58]","[6, 21, -54, 0, 5, -45, -37, 20]"
11,8.0,0.05,-8.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[4, 19, -54, 0, 5, -47, -37, 17]","[19, 35, -52, 1, 6, -40, -27, 32]","[14, 29, -53, 0, 5, -43, -30, 27]","[13, 33, -55, -1, 1, -40, -39, 31]"
12,9.0,0.65,-7.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[4, 19, -54, 0, 5, -47, -37, 17]","[24, 46, -54, 1, 1, -38, -22, 39]","[22, 41, -53, -2, 0, -32, -40, 43]","[17, 37, -54, -2, 2, -36, -38, 36]"
13,9.0,0.2,-10.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[9, 26, -54, 0, 4, -45, -33, 22]","[22, 42, -54, 0, 1, -38, -28, 38]","[19, 39, -54, 0, 2, -40, -27, 34]","[18, 37, -31, 0, 2, -91, -40, 34]"
14,10.0,-1.95,-8.0,"[-11, 41, -54, 34, 3, -41, -54, 28]","[4, 19, -54, 0, 5, -47, -37, 17]","[6, 42, -54, 16, 2, -39, -39, 34]","[-1, 75, 21, 20, -99, -40, -16, 30]","[-10, 43, -54, 46, 12, -42, -59, 7]"
15,10.0,-3.25,-10.0,"[-11, 41, -54, 34, 3, -41, -54, 28]","[3, 39, -47, 17, 3, -55, -47, 31]","[4, 19, -54, 0, 5, -47, -37, 17]","[5, 21, -54, 0, 5, -46, -37, 19]","[4, 19, -54, 0, 5, -47, -37, 17]"
16,10.0,-0.2,-10.0,"[-11, 41, -54, 34, 3, -41, -54, 28]","[3, 39, -47, 17, 3, -55, -47, 31]","[2, 39, -48, 18, 3, -54, -48, 31]","[-10, 41, -53, 33, 3, -42, -53, 28]","[4, 19, -54, 0, 5, -47, -37, 17]"
17,10.0,0.15,-10.0,"[-11, 41, -54, 34, 3, -41, -54, 28]","[2, 39, -48, 19, 3, -54, -48, 31]","[-10, 41, -53, 32, 3, -42, -53, 28]","[2, 38, -48, 17, 3, -54, -48, 30]","[4, 29, 10, 8, 4, -51, 0, 52]"
18,10.0,3.0,-8.0,"[-11, 41, -54, 34, 3, -41, -54, 28]","[4, 20, -54, 1, 5, -47, -37, 18]","[4, 80, 91, 2, 5, 35, -83, 18]","[1, 35, 33, 16, 4, -51, 11, 67]","[3, -36, 52, 13, 4, -53, 25, 73]"
19,10.0,4.75,-8.0,"[-11, 41, -54, 34, 3, -41, -54, 28]","[3, 27, 9, 7, 4, -50, 1, 52]","[3, -27, 38, 12, 4, -52, 16, 66]","[2, 1, 8, 15, 3, -53, -6, 54]","[3, -35, 51, 13, 4, -53, 24, 73]"
